pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
GU385597.1.1698_U	GU385597	1	1698	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellatea_XX	Choanoflagellatea_XXX	Choanoflagellatea_XXX_sp.					ENV	Uncultured marine eukaryote clone ME_Euk_FW100 18S small subunit					ME_Euk_FW100		"seaweed (Ascophyllum nodosum) wrap of live bait from Maine"""					USA																		environmental								
DQ310309.1.1332_U	DQ310309	1	1332	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X	Stephanoecidae_Group_H_X_sp.			1		ENV	Uncultured marine eukaryote clone FV36_CilH9 small subunit					FV36_CilH9		"super-sulfidic anoxic fjord water samples"""					Norway: Framvaren																		environmental								
GU290082.1.1870_U	GU290082	1	1870	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Salpingoecidae_Group_C1	Salpingoecidae_Group_C1_X	Salpingoecidae_Group_C1_X_sp.					ENV	Uncultured eukaryote clone TKR07E.73 18S ribosomal RNA gene,					TKR07E.73		Lake Tanganyika, epilimnion			mars-07			8.73 S 31.04 E	Anne-Laure Tarbe																environmental			-8.73	31.04				
GU647170.1.1532_U	GU647170	1	1532	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellatea_X_Group_L	Choanoflagellatea_X_Group_L_X	Choanoflagellatea_X_Group_L_X_sp.					ENV	Uncultured freshwater eukaryote clone AP_dino18S-6 18S small					AP_dino18S-6		">5 micrometer fraction of surface water, Long Island Sound, Avery Point (AP)"""					USA	41.32 N 72.06 W		"similar to Eimeriidae environmental sample clone elev_18s_1414 (INSD accession EF024885)"""															environmental			41.32	-72.06				
FJ848456.1.1563_UC	FJ848456	1	1563	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellatea_X_Group_P	Choanoflagellatea_X_Group_P_X	Choanoflagellatea_X_Group_P_X_sp.					ENV	Uncultured eukaryote clone DLN-J-9 small subunit ribosomal RNA					DLN-J-9		Gayal fecal sample					"China: Yunnan, Fugong, Yaping Gayal Breeding Farm"""																		environmental								
HQ870602.1.842_U	HQ870602	1	842	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellatea_X_Group_L	Choanoflagellatea_X_Group_L_X	Choanoflagellatea_X_Group_L_X_sp.					ENV	Uncultured eukaryote clone SIAA561 18S ribosomal RNA gene, partial					SIAA561		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			14-Apr-2008		Canada: Vancouver																		environmental								
JF706239.1.1588_U	JF706239	1	1588	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_A	Codosiga	Codosiga_sp.					INV	Codonosiga sp. FFN-2011 clone M5/Iceland 18S ribosomal RNA gene,					M5/Iceland																									environmental								
EU446411.1.1556_U	EU446411	1	1556	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_F	Stephanoecidae_Group_F_X	Stephanoecidae_Group_F_X_sp.			1		ENV	Uncultured marine eukaryote clone cLA14H07 small subunit ribosomal					cLA14H07		"anoxic deep hypersaline L'Atalante Basin, eastern Mediterranean Sea"""								"PCR_primers=fwd_name: Euk A (21f), rev_name: U1391R"""															environmental								
ACSY01000865.16910.19004_U	ACSY01000865	16910	19004	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellida_X	Choanoflagellida_XX	Choanoflagellida_XXX	Choanoflagellida_XXXX	Choanoflagellida_XXXX_sp.																																												
HQ865767.1.878_U	HQ865767	1	878	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.					ENV	Uncultured eukaryote clone SGSF1055 18S ribosomal RNA gene, partial					SGSF1055		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
AY426868.1.1778_U	AY426868	1	1778	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_E	Stephanoecidae_Group_E_X	Stephanoecidae_Group_E_X_sp.					ENV	Uncultured marine eukaryote clone BL001221.16 18S ribosomal RNA					BL001221.16		Mediterranean coast																							environmental								
FJ153709.1.1244_U	FJ153709	1	1244	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_A	Monosigidae_Group_A_X	Monosigidae_Group_A_X_sp.					ENV	Uncultured marine eukaryote clone GoC4_H10 small subunit ribosomal					GoC4_H10		"anoxic Gotland Deep (Baltic Sea) water sample"""																							environmental								
DQ104583.1.1381_U	DQ104583	1	1381	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellida_X	Choanoflagellida_XX	Choanoflagellida_XX_Clade-2	Choanoflagellida_XX_Clade-2_X	Choanoflagellida_XX_Clade-2_X_sp.					ENV	Uncultured eukaryote clone EUKDBF10 18S ribosomal RNA gene, partial					EUKDBF10		Snake River Plain Aquifer					USA																		environmental								
FJ848502.1.1385_U	FJ848502	1	1385	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellatea_X_Group_P	Choanoflagellatea_X_Group_P_X	Choanoflagellatea_X_Group_P_X_sp.					ENV	Uncultured eukaryote clone DLN-J-74 small subunit ribosomal RNA					DLN-J-74		Gayal fecal sample					"China: Yunnan, Fugong, Yaping Gayal Breeding Farm"""																		environmental								
JF488800.1.1115_U	JF488800	1	1115	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.					INV	Eukaryote SCGC AAA071-L17 18S ribosomal RNA gene, partial sequence.							Gulf of Maine								single cell isolate (1 m depth)																							
GU647195.1.1532_U	GU647195	1	1532	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Salpingoecidae_Group_C2	Salpingoecidae_Group_C2_X	Salpingoecidae_Group_C2_X_sp.					ENV	Uncultured freshwater eukaryote clone ML2_dino18S-59 18S small					ML2_dino18S-59		">5 micrometer fraction of surface water, Mirror Lake, June 28"""					USA: Connecticut, Storrs	41.80 N 72.24 W		"similar to Salpingoeca napiformis strain ATCC 50153 (INSD accession EU011929)"""															environmental			41.8	-72.24				
EU446385.1.1472_U	EU446385	1	1472	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_F	Stephanoecidae_Group_F_X	Stephanoecidae_Group_F_X_sp.			1		ENV	Uncultured marine eukaryote clone cLA12E05 small subunit ribosomal					cLA12E05		"anoxic deep hypersaline L'Atalante Basin, eastern Mediterranean Sea"""								"PCR_primers=fwd_name: Euk A (21f), rev_name: U1391R"""															environmental								
HQ870571.1.847_U	HQ870571	1	847	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_M	Monosigidae_Group_M_X	Monosigidae_Group_M_X_sp.					ENV	Uncultured eukaryote clone SIAA525 18S ribosomal RNA gene, partial					SIAA525		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			14-Apr-2008		Canada: Vancouver																		environmental								
HM369560.1.1016_U	HM369560	1	1016	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellatea_X_Group_L	Choanoflagellatea_X_Group_L_X	Choanoflagellatea_X_Group_L_X_sp.					ENV	Uncultured eukaryote clone MS609-36 18S ribosomal RNA gene, partial					MS609-36		Boothbay Harbor, 1m depth					USA	43.8444 N 69.6410 W		PCR_primers=fwd_name: 528F, rev_name: EukB															environmental			43.8444	-69.641				
FJ153624.1.1240_U	FJ153624	1	1240	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_A	Monosigidae_Group_A_X	Monosigidae_Group_A_X_sp.					ENV	Uncultured marine eukaryote clone GoC1_A01 small subunit ribosomal					GoC1_A01		"anoxic Gotland Deep (Baltic Sea) water sample"""																							environmental								
AF174375.1.1753_U	AF174375	1	1753	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_A	Monosiga	Monosiga_brevicollis			1		INV	Monosiga brevicollis 18S ribosomal RNA gene, partial sequence.			BSZ6																											culture								
HQ869433.1.866_U	HQ869433	1	866	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X	Stephanoecidae_Group_H_X_sp.					ENV	Uncultured eukaryote clone SHBA398 18S ribosomal RNA gene, partial					SHBA398		"Saanich Inlet, oxygenated marine water column, 100 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
HQ869250.1.866_U	HQ869250	1	866	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X	Stephanoecidae_Group_H_X_sp.					ENV	Uncultured eukaryote clone SHBA584 18S ribosomal RNA gene, partial					SHBA584		"Saanich Inlet, oxygenated marine water column, 100 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
JN825690.1.952_U	JN825690	1	952	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellida_X	Choanoflagellida_XX	Choanoflagellida_XXX	Choanoflagellida_XXXX	Choanoflagellida_XXXX_sp.					ENV	Uncultured choanoflagellate clone Alchichica_AQ1_5E_68 small					Alchichica_AQ1_5E_68		"microbialites from Alchichica alkaline lake maintained in aquarium"""					Mexico																		environmental								
AY426842.1.1779_U	AY426842	1	1779	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_B	Monosigidae_Group_B_X	Monosigidae_Group_B_X_sp.					ENV	Uncultured marine eukaryote clone BL000921.20 18S ribosomal RNA					BL000921.20		Mediterranean coast																							environmental								
FJ775645.1.926_U	FJ775645	1	926	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_M	Monosigidae_Group_M_X	Monosigidae_Group_M_X_sp.					ENV	Uncultured opisthokont clone CS123S24 18S ribosomal RNA gene,					CS123S24		ocean water			22-Apr-2004		Canada	70.02 N 126.42 W																	environmental			70.02	-126.42				
EF432540.1.1702_U	EF432540	1	1702	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_E	Stephanoecidae_Group_E_X	Stephanoecidae_Group_E_X_sp.					INV	Choanoflagellida sp. SL163 clone D3 18S ribosomal RNA gene, partial					D3																									environmental								
JN054678.1.1515_U	JN054678	1	1515	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Salpingoecidae_Group_C2	Salpingoecidae_Group_C2_X	Salpingoecidae_Group_C2_X_sp.					ENV	Uncultured eukaryote clone C32 18S ribosomal RNA gene, partial					C32		"activated sludge from paper mill wastewater treatment plant"""					Canada																		environmental								
